Customer_ID,Tenure,MonthlyCharges,TotalCharges,Contract,PaymentMethod,PaperlessBilling,SeniorCitizen,Churn
C00165,22,2348,51656,Month-to-month,Net Banking,Yes,1,Yes
C00166,59,4997,294823,Month-to-month,UPI,Yes,0,No
C00167,41,2193,89913,One year,Credit Card,No,0,No
C00168,32,1989,63648,One year,Net Banking,No,0,No
C00169,31,3729,115599,Two year,UPI,No,0,No
C00170,16,3569,57104,One year,Cash,Yes,1,Yes
C00171,51,1727,88077,One year,Cash,No,0,Yes
C00172,35,3534,123690,Two year,Cash,No,1,No
C00173,20,4170,83400,Two year,UPI,No,1,No
C00174,37,1438,53206,One year,Credit Card,Yes,0,No
C00175,48,1508,72384,One year,Net Banking,No,0,No
C00176,30,2023,60690,One year,Credit Card,Yes,0,No
C00177,20,3605,72100,Two year,Credit Card,No,0,No
C00178,54,4184,225936,Two year,Cash,No,0,No
C00179,5,3333,16665,Month-to-month,Net Banking,No,0,No
C00180,35,3566,124810,Two year,Net Banking,No,0,No
C00181,42,4305,180810,Two year,UPI,Yes,1,No
C00182,42,4447,186774,Two year,UPI,Yes,1,No
C00183,39,1908,74412,One year,Credit Card,Yes,0,No
C00184,43,4912,211216,Month-to-month,UPI,Yes,0,No
C00185,44,3650,160600,One year,Cash,Yes,0,No
C00186,27,2264,61128,Two year,UPI,Yes,0,Yes
C00187,41,1825,74825,One year,Net Banking,No,0,Yes
C00188,23,3651,83973,One year,UPI,No,1,Yes
C00189,23,1689,38847,One year,Cash,Yes,0,Yes
C00190,43,4533,194919,Two year,Credit Card,Yes,0,No
C00191,52,804,41808,Two year,Credit Card,No,0,Yes
C00192,9,4417,39753,Two year,Cash,No,1,No
C00193,23,2538,58374,Month-to-month,UPI,No,0,Yes
C00194,34,2661,90474,Month-to-month,Credit Card,No,0,No
C00195,24,2713,65112,Two year,Cash,Yes,0,No
C00196,24,2050,49200,Two year,UPI,No,0,No
C00197,4,2272,9088,Two year,UPI,No,0,No
C00198,25,4590,114750,Two year,UPI,No,0,No
C00199,53,3324,176172,Two year,UPI,Yes,1,No
C00200,51,4681,238731,Two year,Credit Card,No,0,No
C00201,49,934,45766,Two year,Net Banking,No,0,Yes
C00202,12,4541,54492,One year,Cash,Yes,1,Yes
C00203,1,3875,3875,One year,Net Banking,Yes,0,No
C00204,21,3164,66444,Two year,UPI,No,0,No
C00205,16,3865,61840,One year,Credit Card,Yes,0,No
C00206,36,2429,87444,One year,Credit Card,No,0,No
C00207,42,3647,153174,Two year,UPI,Yes,0,Yes
C00208,19,3776,71744,One year,Cash,No,0,Yes
C00209,14,2104,29456,Two year,UPI,No,0,No
C00210,56,2753,154168,One year,UPI,Yes,0,No
C00211,6,417,2502,Two year,Net Banking,Yes,0,No
C00212,31,2095,64945,Two year,Cash,Yes,0,No
C00213,37,1332,49284,Month-to-month,Credit Card,No,0,No
C00214,25,2640,66000,Two year,Net Banking,Yes,0,No
C00215,21,2756,57876,Month-to-month,UPI,No,0,No
C00216,40,3068,122720,One year,Credit Card,No,0,No
C00217,32,1227,39264,One year,UPI,Yes,0,No
C00218,33,1916,63228,Month-to-month,Cash,No,0,No
C00219,14,1825,25550,Two year,UPI,Yes,0,Yes
C00220,14,494,6916,One year,Credit Card,No,0,No
C00221,36,2959,106524,Month-to-month,Credit Card,No,0,No
C00222,18,3881,69858,One year,UPI,Yes,0,No
C00223,11,2856,31416,Two year,Net Banking,No,0,Yes
C00224,56,2860,160160,One year,Credit Card,No,1,No
C00225,18,4651,83718,One year,Net Banking,No,0,No
C00226,30,535,16050,Two year,Net Banking,Yes,0,Yes
C00227,30,2704,81120,Month-to-month,UPI,Yes,0,No
C00228,21,2706,56826,Month-to-month,Credit Card,No,0,No
C00229,33,4529,149457,Month-to-month,UPI,Yes,0,No
C00230,57,1995,113715,One year,Credit Card,Yes,0,No
C00231,38,1577,59926,Two year,Net Banking,Yes,1,No
C00232,37,2572,95164,One year,Cash,No,1,Yes
C00233,30,3922,117660,Month-to-month,Cash,Yes,0,Yes
C00234,42,2632,110544,Month-to-month,Cash,Yes,0,No
C00235,1,2079,2079,One year,Cash,Yes,0,Yes
C00236,17,4971,84507,Month-to-month,Net Banking,No,0,No
C00237,1,3200,3200,Two year,UPI,No,0,No
C00238,13,1924,25012,Two year,Net Banking,Yes,0,No
C00239,10,1027,10270,Month-to-month,Cash,Yes,1,Yes
C00240,28,485,13580,Month-to-month,Credit Card,Yes,0,No
C00241,58,3671,212918,Month-to-month,UPI,No,0,Yes
C00242,25,3100,77500,One year,Net Banking,Yes,0,No
C00243,48,323,15504,Month-to-month,Net Banking,Yes,0,Yes
C00244,48,1708,81984,Two year,Net Banking,No,0,No
C00245,30,1585,47550,Month-to-month,UPI,No,0,Yes
C00246,14,3829,53606,Two year,Cash,Yes,1,No
C00247,19,4708,89452,One year,Credit Card,Yes,0,Yes
C00248,37,4270,157990,One year,Credit Card,Yes,0,No
C00249,3,976,2928,Month-to-month,Cash,No,0,No
C00250,28,2362,66136,Two year,Cash,Yes,1,No
C00251,30,4581,137430,Month-to-month,UPI,Yes,0,No
C00252,45,3775,169875,Month-to-month,Net Banking,Yes,1,No
C00253,53,2747,145591,Two year,Credit Card,Yes,0,Yes
C00254,57,4494,256158,One year,Cash,No,0,No
C00255,42,680,28560,One year,Cash,Yes,0,Yes
C00256,11,4925,54175,Month-to-month,Credit Card,Yes,0,Yes
C00257,31,4482,138942,One year,Cash,Yes,1,No
C00258,52,3404,177008,Month-to-month,UPI,No,1,No
C00259,13,4726,61438,One year,UPI,No,1,No
C00260,49,4591,224959,One year,Cash,Yes,1,Yes
C00261,2,3460,6920,Two year,Cash,No,0,Yes
C00262,41,1216,49856,Two year,Credit Card,Yes,0,No
C00263,47,1659,77973,Two year,Credit Card,Yes,0,No
C00264,10,1591,15910,One year,Cash,Yes,0,No
C00265,30,1741,52230,One year,Credit Card,Yes,1,No
C00266,45,1268,57060,One year,Credit Card,Yes,0,Yes
C00267,29,2370,68730,Two year,Net Banking,Yes,0,Yes
C00268,23,3475,79925,Month-to-month,UPI,Yes,0,No
C00269,57,2550,145350,Two year,UPI,No,0,No
C00270,59,3692,217828,Two year,Cash,Yes,0,No
C00271,25,4361,109025,Month-to-month,Credit Card,No,1,No
C00272,27,4671,126117,Two year,Cash,Yes,0,No
C00273,32,4670,149440,Month-to-month,UPI,No,1,No
C00274,10,3525,35250,One year,Net Banking,Yes,0,No
C00275,40,1687,67480,One year,Cash,Yes,0,No
C00276,47,604,28388,Month-to-month,UPI,No,0,No
C00277,37,467,17279,One year,UPI,Yes,0,No
C00278,48,4225,202800,Two year,UPI,Yes,0,Yes
C00279,38,2650,100700,Month-to-month,UPI,Yes,0,No
C00280,26,1318,34268,One year,UPI,No,0,Yes
C00281,17,1824,31008,One year,Net Banking,Yes,0,No
C00282,49,3269,160181,One year,Cash,No,0,Yes
C00283,42,3175,133350,Two year,Credit Card,No,1,No
C00284,38,4684,177992,Month-to-month,Net Banking,Yes,0,No
C00285,11,726,7986,Month-to-month,Cash,No,1,No
C00286,41,3521,144361,Two year,Net Banking,No,1,No
C00287,18,4836,87048,Two year,Net Banking,No,0,No
C00288,23,2330,53590,Month-to-month,Credit Card,No,0,No
C00289,60,2641,158460,Two year,Credit Card,Yes,0,Yes
C00290,13,2175,28275,Month-to-month,Credit Card,Yes,0,Yes
C00291,51,1094,55794,Month-to-month,Credit Card,Yes,0,No
C00292,8,445,3560,One year,Cash,Yes,0,No
C00293,7,3147,22029,One year,UPI,No,0,No
C00294,46,3882,178572,One year,UPI,Yes,1,No
C00295,40,4633,185320,Month-to-month,UPI,No,0,No
C00296,59,447,26373,Two year,Cash,Yes,0,No
C00297,52,3726,193752,Month-to-month,Cash,Yes,1,No
C00298,35,4589,160615,Month-to-month,Cash,Yes,1,No
C00299,47,4475,210325,One year,Cash,No,0,Yes
C00300,28,2525,70700,Two year,Cash,Yes,0,No
C00301,5,397,1985,Month-to-month,Cash,Yes,0,Yes
C00302,2,350,700,One year,Credit Card,Yes,0,No
C00303,17,1246,21182,Month-to-month,Net Banking,No,0,No
C00304,55,2881,158455,One year,Cash,No,1,No
C00305,7,4159,29113,Month-to-month,Credit Card,Yes,0,No
C00306,54,2046,110484,Month-to-month,Cash,Yes,0,No
C00307,19,795,15105,One year,Credit Card,Yes,0,No
C00308,25,2983,74575,Month-to-month,UPI,Yes,0,No
C00309,39,1743,67977,Month-to-month,Cash,Yes,0,No
C00310,44,450,19800,One year,UPI,No,0,Yes
C00311,10,2544,25440,One year,Credit Card,Yes,0,No
C00312,45,3350,150750,Two year,Net Banking,No,0,No
C00313,47,687,32289,Two year,Cash,No,0,Yes
C00314,6,2594,15564,One year,UPI,No,0,No
C00315,52,2788,144976,Month-to-month,Net Banking,Yes,1,No
C00316,33,3499,115467,One year,Net Banking,No,0,No
C00317,42,2613,109746,Month-to-month,Cash,Yes,1,No
C00318,17,816,13872,Two year,Credit Card,No,0,No
C00319,44,1997,87868,One year,UPI,Yes,0,No
C00320,41,4911,201351,One year,Net Banking,Yes,0,No
C00321,6,4571,27426,One year,UPI,Yes,0,No
C00322,11,2135,23485,Two year,Net Banking,No,0,No
C00323,46,3445,158470,Month-to-month,Cash,No,1,Yes
C00324,45,3482,156690,Month-to-month,Cash,Yes,0,No
C00325,16,3461,55376,Two year,UPI,Yes,0,No
C00326,28,663,18564,One year,Credit Card,Yes,1,No
C00327,46,1645,75670,Two year,Cash,Yes,0,Yes
C00328,50,2784,139200,Month-to-month,UPI,Yes,1,Yes
C00329,11,2261,24871,One year,UPI,Yes,0,No
C00330,48,517,24816,Two year,Cash,No,0,No
C00331,26,2942,76492,Two year,UPI,No,0,Yes
C00332,41,2665,109265,Month-to-month,UPI,Yes,0,No
C00333,5,2520,12600,Two year,Cash,Yes,0,Yes
C00334,3,3104,9312,One year,Credit Card,No,1,Yes
C00335,24,4805,115320,One year,Cash,Yes,0,Yes
C00336,47,4421,207787,Month-to-month,Cash,No,0,No
C00337,46,4631,213026,Two year,Credit Card,Yes,0,No
C00338,37,3368,124616,Two year,UPI,Yes,0,Yes
C00339,49,503,24647,One year,UPI,No,0,No
C00340,8,2078,16624,Month-to-month,Credit Card,No,0,No
C00341,32,3125,100000,Two year,Cash,Yes,0,No
C00342,20,4179,83580,Month-to-month,UPI,Yes,0,No
C00343,26,1103,28678,Two year,Cash,Yes,1,No
C00344,60,2406,144360,Two year,Cash,No,0,Yes
C00345,37,3660,135420,Month-to-month,UPI,No,0,No
C00346,55,2724,149820,Month-to-month,UPI,Yes,0,No
C00347,60,3969,238140,Month-to-month,Credit Card,Yes,0,No
C00348,19,1661,31559,One year,Net Banking,Yes,0,No
C00349,43,353,15179,One year,Net Banking,Yes,0,Yes
C00350,30,2774,83220,Two year,Cash,No,0,No
C00351,28,4131,115668,Month-to-month,Credit Card,Yes,1,No
C00352,3,3605,10815,Month-to-month,Credit Card,No,0,No
C00353,35,4158,145530,Two year,Cash,No,0,Yes
C00354,60,2140,128400,Month-to-month,Cash,No,0,No
C00355,39,3633,141687,One year,Net Banking,No,0,Yes
C00356,59,709,41831,One year,Cash,No,0,No
C00357,13,861,11193,Two year,Credit Card,Yes,0,No
C00358,7,4348,30436,One year,Net Banking,No,0,Yes
C00359,6,4330,25980,One year,Net Banking,No,0,No
C00360,21,3816,80136,Month-to-month,Cash,No,1,No
C00361,12,4132,49584,One year,Credit Card,No,1,No
C00362,4,1302,5208,Two year,Net Banking,No,1,No
C00363,54,1319,71226,One year,Net Banking,No,0,Yes
C00364,49,2430,119070,One year,Credit Card,Yes,0,No
C00365,42,2360,99120,Month-to-month,Cash,No,1,No
C00366,28,3695,103460,Month-to-month,UPI,Yes,0,No
C00367,6,4481,26886,One year,Cash,No,0,No
C00368,57,3302,188214,Month-to-month,Cash,Yes,0,No
C00369,60,1580,94800,One year,Cash,Yes,1,No
C00370,9,2703,24327,Two year,Credit Card,Yes,0,Yes
C00371,40,2365,94600,Month-to-month,UPI,Yes,0,No
C00372,5,378,1890,Month-to-month,UPI,Yes,0,No
C00373,12,3965,47580,Month-to-month,UPI,Yes,0,No
C00374,56,4741,265496,One year,Cash,Yes,0,No
C00375,23,1157,26611,Two year,Credit Card,No,1,No
C00376,56,3582,200592,Month-to-month,Net Banking,Yes,0,No
C00377,42,1059,44478,Two year,UPI,Yes,0,Yes
C00378,52,4082,212264,Month-to-month,Net Banking,Yes,1,No
C00379,4,4859,19436,Month-to-month,Credit Card,No,0,Yes
C00380,17,4951,84167,Two year,UPI,Yes,1,No
C00381,17,2219,37723,Two year,Net Banking,Yes,0,No
C00382,60,1692,101520,Two year,UPI,Yes,0,No
C00383,36,3622,130392,Two year,Net Banking,Yes,0,No
C00384,8,431,3448,Month-to-month,Cash,Yes,0,No
C00385,52,2943,153036,Month-to-month,UPI,Yes,0,No
C00386,27,598,16146,Month-to-month,Net Banking,No,0,No
C00387,4,3222,12888,Month-to-month,Cash,Yes,1,Yes
C00388,20,3198,63960,Month-to-month,UPI,Yes,0,No
C00389,57,4816,274512,One year,UPI,Yes,0,No
C00390,50,2721,136050,Month-to-month,Cash,Yes,0,No
C00391,15,1769,26535,Two year,Credit Card,Yes,0,No
C00392,47,1583,74401,Two year,Credit Card,Yes,1,Yes
C00393,57,4977,283689,Two year,Net Banking,Yes,0,No
C00394,27,480,12960,Month-to-month,Credit Card,Yes,1,No
C00395,48,2266,108768,One year,Cash,Yes,0,Yes
C00396,36,4528,163008,One year,Credit Card,No,0,No
C00397,52,4250,221000,One year,Cash,Yes,0,No
C00398,54,4327,233658,Month-to-month,UPI,Yes,0,No
C00399,17,4316,73372,Month-to-month,Credit Card,Yes,0,No
C00400,5,1805,9025,One year,UPI,Yes,0,No
C00401,54,2557,138078,Two year,Credit Card,No,0,No
C00402,56,3116,174496,Month-to-month,Cash,Yes,0,No
C00403,12,793,9516,Month-to-month,UPI,Yes,0,Yes
C00404,59,435,25665,One year,Cash,No,1,Yes
C00405,4,3295,13180,One year,Credit Card,No,0,Yes
C00406,10,1261,12610,One year,Net Banking,Yes,0,Yes
C00407,34,4813,163642,Two year,UPI,No,1,No
C00408,51,4144,211344,One year,Cash,Yes,0,No
C00409,60,2197,131820,Month-to-month,Cash,No,1,No
C00410,9,1866,16794,One year,Cash,No,0,No
C00411,44,2188,96272,Two year,UPI,Yes,0,No
C00412,24,4013,96312,Two year,UPI,Yes,0,No
C00413,47,789,37083,Month-to-month,Cash,No,0,No
C00414,28,4058,113624,Two year,UPI,Yes,0,No
C00415,9,303,2727,One year,Credit Card,Yes,0,Yes
C00416,39,750,29250,Two year,UPI,Yes,0,No
C00417,28,582,16296,Two year,Credit Card,No,1,Yes
C00418,28,1993,55804,One year,UPI,No,0,No
C00419,33,2366,78078,One year,Cash,No,0,Yes
C00420,16,1784,28544,Month-to-month,Net Banking,Yes,0,No
C00421,57,4967,283119,Two year,Net Banking,No,0,No
C00422,24,1791,42984,Two year,UPI,No,0,No
C00423,20,3019,60380,One year,UPI,Yes,0,No
C00424,47,3190,149930,Month-to-month,Credit Card,Yes,0,No
C00425,50,1621,81050,Month-to-month,Cash,No,0,Yes
C00426,7,1781,12467,One year,Credit Card,No,0,Yes
C00427,4,1648,6592,Two year,Net Banking,Yes,1,No
C00428,30,2162,64860,Month-to-month,Credit Card,Yes,0,Yes
C00429,53,2776,147128,Month-to-month,Credit Card,Yes,0,No
C00430,43,4215,181245,Two year,Cash,No,0,Yes
C00431,41,2077,85157,Month-to-month,Net Banking,No,0,No
C00432,1,3897,3897,Month-to-month,Credit Card,Yes,0,No
C00433,56,3427,191912,One year,Net Banking,No,0,Yes
C00434,32,3261,104352,Two year,Net Banking,No,0,No
C00435,47,760,35720,Month-to-month,Cash,Yes,0,Yes
C00436,8,2097,16776,Month-to-month,UPI,Yes,0,No
C00437,59,3949,232991,Two year,UPI,Yes,1,No
C00438,11,517,5687,Two year,Credit Card,Yes,0,No
C00439,31,2592,80352,Month-to-month,Net Banking,Yes,0,No
C00440,12,785,9420,Month-to-month,UPI,Yes,1,No
C00441,32,2495,79840,Two year,Net Banking,No,1,Yes
C00442,56,4324,242144,Month-to-month,UPI,No,0,Yes
C00443,3,1099,3297,Month-to-month,UPI,No,0,Yes
C00444,21,2041,42861,Month-to-month,Net Banking,Yes,0,No
C00445,25,1974,49350,Month-to-month,UPI,Yes,0,No
C00446,51,4484,228684,Month-to-month,Net Banking,No,0,Yes
C00447,6,4261,25566,Two year,Net Banking,Yes,0,No
C00448,59,3400,200600,Two year,Credit Card,Yes,1,Yes
C00449,55,4578,251790,Month-to-month,Net Banking,No,0,No
C00450,25,1477,36925,Two year,Net Banking,No,1,No
C00451,47,540,25380,Month-to-month,Credit Card,Yes,0,No
C00452,56,4846,271376,Month-to-month,Net Banking,Yes,0,No
C00453,21,980,20580,Month-to-month,Cash,Yes,0,No
C00454,50,3740,187000,Two year,UPI,No,0,No
C00455,36,1775,63900,Month-to-month,UPI,Yes,0,No
C00456,32,4547,145504,One year,Credit Card,No,0,Yes
C00457,30,4445,133350,One year,Cash,Yes,0,No
C00458,51,4612,235212,Two year,UPI,Yes,0,No
C00459,10,4472,44720,One year,UPI,Yes,1,No
C00460,33,2922,96426,One year,Net Banking,No,0,Yes
C00461,50,2043,102150,Two year,Credit Card,No,0,No
C00462,8,4259,34072,One year,Net Banking,Yes,0,Yes
C00463,45,1170,52650,Two year,Net Banking,No,0,Yes
C00464,60,2064,123840,Month-to-month,Cash,Yes,0,No
C00465,9,2605,23445,Two year,Net Banking,Yes,0,No
C00466,16,4182,66912,Month-to-month,Cash,No,0,No
C00467,39,3063,119457,Month-to-month,Credit Card,No,0,Yes
C00468,49,4190,205310,Month-to-month,UPI,Yes,0,No
C00469,26,343,8918,Two year,Credit Card,Yes,0,No
C00470,2,1978,3956,Month-to-month,Net Banking,Yes,0,No
C00471,17,2931,49827,One year,UPI,Yes,0,No
C00472,7,4842,33894,One year,Net Banking,Yes,0,Yes
C00473,54,2711,146394,Two year,Cash,Yes,0,No
C00474,28,2437,68236,One year,Credit Card,No,0,No
C00475,48,1728,82944,One year,Net Banking,No,0,Yes
C00476,42,2410,101220,One year,Net Banking,No,0,No
C00477,52,2859,148668,Month-to-month,Cash,No,1,No
